Product Name,HSN Code,Old ERP Code / Existing Series,Item Categories (SKU),Product Description,Brand,"Country of Origin

","Model/Part Number

","Unit Price

",Currency,"Category


",Sub-Category,"Item Type

",Unit of Measure,Stock Quantity,MoQ,Reorder Level,Lead Time (Days)
CONCRETE BREAKING FOR FURNACE FLOOR,9954,465,Heavy Duty Valves,Concrete Breaking For Furnace Floor used in industrial plant operations. Category: Service.,In-House,India,23,44,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,12
CONCRETE BREAKING FOR PUMP HOUSE,9954,466,CNC Machined Parts,Concrete Breaking For Pump House used in industrial plant operations. Category: Service.,Third Party,India,24,45,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,4
Repairing Electrical,9954,467,Raw Material - Steel,Repairing Electrical used in industrial plant operations. Category: Service.,Contracted,India,SVC-1Z6C,21385.13,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,2
Processing Charges,9954,468,Laptops & Computting,Processing Charges used in industrial plant operations. Category: Service.,Contracted,India,SVC-HWV0,35215.59,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,4
Transportation Charges,9954,469,Store & Consumables,Transportation Charges used in industrial plant operations. Category: Service.,Vendor,India,SVC-W3A3,35057.9,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,5
CARGO DATA DECLARATION,9954,470,Raw Material,Cargo Data Declaration used in industrial plant operations. Category: General.,OEM,India,GEN-H1DN,18077.17,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,319,5,64,22
EMISSION TRADING SYSTEM,9954,471,Heavy Duty Valves,Emission Trading System used in industrial plant operations. Category: General.,Generic,India,GEN-0U9N,27691.62,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,326,5,65,19
EMERGENCY RISK SURCHARGE,9954,472,CNC Machined Parts,Emergency Risk Surcharge used in industrial plant operations. Category: Service.,Contracted,India,SVC-ZBHK,4449.7,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,14
Ocean Freight Charges-20 FT Container,9954,473,Raw Material - Steel,Ocean Freight Charges-20 Ft Container used in industrial plant operations. Category: Service.,In-House,India,SVC-NR4F,18085.9,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,5
Container Handling Services,9954,474,Laptops & Computting,Container Handling Services used in industrial plant operations. Category: Service.,In-House,India,SVC-WF0F,19283.04,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,12
Custom Duty,9954,475,Store & Consumables,Custom Duty used in industrial plant operations. Category: Service.,Contracted,India,SVC-Z42H,2088.96,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,7
CUSTOM INSPECTION CHARGES,9954,476,Raw Material,Custom Inspection Charges used in industrial plant operations. Category: Service.,Third Party,India,SVC-C7V0,11025.01,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,7
Port Charges,9954,477,Heavy Duty Valves,Port Charges used in industrial plant operations. Category: Service.,Vendor,India,SVC-EE1U,37477.18,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,15
Clearing And Forwarding Services,9954,478,CNC Machined Parts,Clearing And Forwarding Services used in industrial plant operations. Category: Service.,Vendor,India,SVC-N9ES,37911.22,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,3
Cargo Wharfage,9954,479,Raw Material - Steel,Cargo Wharfage used in industrial plant operations. Category: Service.,Contracted,India,SVC-2QCN,49808.01,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,5
Miscellaneous Expenses,9954,480,Laptops & Computting,Miscellaneous Expenses used in industrial plant operations. Category: Service.,In-House,India,SVC-ZD61,38545.64,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,2
Inland Haulage Charges,9954,481,Store & Consumables,Inland Haulage Charges used in industrial plant operations. Category: Service.,Third Party,India,SVC-QR85,13537.76,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,13
Weighment Charges,9954,482,Raw Material,Weighment Charges used in industrial plant operations. Category: Service.,Contracted,India,SVC-TDX4,25629.31,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,3
Loading & Unloading Charges,9954,483,Heavy Duty Valves,Loading & Unloading Charges used in industrial plant operations. Category: Service.,Third Party,India,SVC-1U2U,528.31,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,8
Demurrage,9954,484,CNC Machined Parts,Demurrage used in industrial plant operations. Category: Service.,In-House,India,SVC-DN93,12352.89,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,15
Permit Charges,9954,485,Raw Material - Steel,Permit Charges used in industrial plant operations. Category: Service.,In-House,India,SVC-CSC1,38408.8,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,11
Container Cleaning Charges,9954,486,Laptops & Computting,Container Cleaning Charges used in industrial plant operations. Category: Service.,Vendor,India,SVC-8FTW,48235.96,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,13
Seal Charges,9954,487,Store & Consumables,Seal Charges used in industrial plant operations. Category: Service.,Contracted,India,SVC-0PYN,45030.9,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,2
ENS CHARGES,9954,488,Raw Material,Ens Charges used in industrial plant operations. Category: Service.,Contracted,India,SVC-HMWH,11400.76,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,12
LIFT ON CHARGES,9954,489,Heavy Duty Valves,Lift On Charges used in industrial plant operations. Category: Service.,In-House,India,SVC-H65C,12281.23,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,8
PRECARRIAGE CHARGE,9954,490,CNC Machined Parts,Precarriage Charge used in industrial plant operations. Category: Service.,Contracted,India,SVC-U06V,12528.36,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,13
MUC CHARGES,9954,491,Raw Material - Steel,Muc Charges used in industrial plant operations. Category: Service.,Vendor,India,SVC-GDQQ,23617.72,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,1
Others Expenses (Export),9954,492,Laptops & Computting,Others Expenses (Export) used in industrial plant operations. Category: Service.,In-House,India,SVC-C03D,9983.71,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,8
TERMINAL HANDLING CH,9954,493,Store & Consumables,Terminal Handling Ch used in industrial plant operations. Category: Service.,Contracted,India,SVC-QKJ7,22434.97,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,2
EQUIPMENT SURCHARGE,9954,494,Raw Material,Equipment Surcharge used in industrial plant operations. Category: Service.,In-House,India,SVC-YUAD,37801.49,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,3
Shipping & Clearing Charges,9954,495,Heavy Duty Valves,Shipping & Clearing Charges used in industrial plant operations. Category: Service.,Vendor,India,SVC-SHPB,19259.17,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,5
Documentation Charges,9954,496,CNC Machined Parts,Documentation Charges used in industrial plant operations. Category: Service.,Vendor,India,SVC-KZ02,33262.63,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,3
PRECARRIAGE CHARGE,9954,497,Raw Material - Steel,Precarriage Charge used in industrial plant operations. Category: Service.,Contracted,India,SVC-L8VU,37524.79,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,1
PRECARRIAGE CHARGE,9954,498,Laptops & Computting,Precarriage Charge used in industrial plant operations. Category: Service.,Vendor,India,SVC-T4F8,4465.52,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,2
Postage & Courier,9954,499,Store & Consumables,Postage & Courier used in industrial plant operations. Category: Service.,In-House,India,SVC-YHE6,12687.66,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,1
Power And Fuel,9954,500,Raw Material,Power And Fuel used in industrial plant operations. Category: General.,Generic,India,GEN-QVT7,10372.11,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,170,2,34,14
Others Bank Charges,9954,501,Heavy Duty Valves,Others Bank Charges used in industrial plant operations. Category: Service.,Vendor,India,SVC-EXR7,46818.85,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,8
Mediclaim,9954,502,CNC Machined Parts,Mediclaim used in industrial plant operations. Category: Service.,In-House,India,SVC-CHK7,44102.78,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,6
