RFx Type,RFQ Title,Description,Procurement Type,Delivery Terms,Department,Cost Center,Delivery Location,Item Name,Qty,Payment Terms,vendor
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00001,Capex purchase for facility upgrade,Both,Ex-Works (EXW),DevOps,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,19,30% Advance 70% on Delivery,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-TRANSPORTATION-CHARGES-00002,Sample procurement for quality assessment,Indigenous,Free on Board (FOB),Maintenance,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Transportation Charges,19,PDC (Post-Dated Cheque),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-SHIPPING-CLEARING-00003,Pilot project trial order,Import,Door Delivery,Sales,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,19,PDC (Post-Dated Cheque),pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-CONTAINER-HANDLING-00004,Plant commissioning phase requirement,Import,Freight on Truck (FOT),Sales,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,9,DA (Documents against Acceptance) / DP (Documents against Payment),kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00005,Compliance-driven procurement requirement,Indigenous,Door Delivery,Maintenance,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,15,DA (Documents against Acceptance) / DP (Documents against Payment),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-CONCRETE-BREAKING-00006,Long-term supply agreement requirement,Indigenous,Free on Board (FOB),Legal,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,150,LC (Letter of Credit),pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-OTHERS-EXPENSES-00007,Bulk order for production line expansion,Import,Freight on Truck (FOT),Customer Support,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Others Expenses (Export),5,RTGS / NEFT on Delivery,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-OTHERS-EXPENSES-00008,Compliance-driven procurement requirement,Indigenous,Free on Road (FOR) Origin,DevOps,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Others Expenses (Export),9,DA (Documents against Acceptance) / DP (Documents against Payment),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00009,Sample procurement for quality assessment,Both,Delivered at Place (DAP),Logistics,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,7,Milestone-Based Payment,pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00010,Critical spare for plant operations,Indigenous,Door Delivery,Marketing,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,16,CAD (Cash Against Delivery / Documents),kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-OTHERS-EXPENSES-00011,Replacement parts for routine maintenance,Both,Free on Road (FOR) Origin,Engineering,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Others Expenses (Export),19,DA (Documents against Acceptance) / DP (Documents against Payment),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CUSTOM-DUTY-00012,Annual maintenance shutdown supplies,Indigenous,Free on Board (FOB),Finance,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Custom Duty,19,LC (Letter of Credit),pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-PROCESSING-CHARGES-00013,Emergency stock replenishment,Indigenous,Free on Road (FOR) Origin,Marketing,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Processing Charges,2,LC (Letter of Credit),kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00014,Standard procurement for inventory build-up,Import,Delivered at Place (DAP),Procurement,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,17,PDC (Post-Dated Cheque),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-PROCESSING-CHARGES-00015,Emergency stock replenishment,Import,Door Delivery,Quality Assurance,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Processing Charges,6,Milestone-Based Payment,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-CUSTOM-DUTY-00016,Special grade material for export order,Both,Free on Board (FOB),Procurement,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Custom Duty,4,50% Advance 50% on Delivery,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00017,Routine consumables for daily operations,Indigenous,Free on Board (FOB),Customer Support,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,10,CAD (Cash Against Delivery / Documents),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00018,Annual maintenance shutdown supplies,Import,Free on Board (FOB),Procurement,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,150,25% Advance 75% on Delivery,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-DOCUMENTATION-CHARGES-00019,Sample procurement for quality assessment,Import,Delivered at Place (DAP),Legal,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Documentation Charges,11,Milestone-Based Payment,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-SHIPPING-CLEARING-00020,Compliance-driven procurement requirement,Indigenous,Delivered Duty Paid (DDP),Engineering,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,1,PDC (Post-Dated Cheque),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-TERMINAL-HANDLING-00021,Replacement parts for routine maintenance,Import,Free on Road (FOR) Destination,Engineering,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,75,30% Advance 70% on Delivery,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-CONCRETE-BREAKING-00022,Special grade material for export order,Indigenous,Delivered at Place (DAP),Sales,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,250,CAD (Cash Against Delivery / Documents),kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-OTHERS-EXPENSES-00023,Special grade material for export order,Both,Free on Road (FOR) Destination,Production,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Others Expenses (Export),16,PDC (Post-Dated Cheque),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00024,Replacement for damaged equipment on site,Import,Free on Board (FOB),Product Management,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR PUMP HOUSE,100,30% Advance 70% on Delivery,pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-OTHERS-EXPENSES-00025,Compliance-driven procurement requirement,Import,Free on Road (FOR) Destination,Stores,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Others Expenses (Export),13,Milestone-Based Payment,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-PROCESSING-CHARGES-00026,Strategic sourcing for cost optimization,Both,Delivered Duty Paid (DDP),Maintenance,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Processing Charges,12,Bank Guarantee (BG),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CUSTOM-DUTY-00027,Pilot project trial order,Import,Free on Board (FOB),Stores,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Custom Duty,2,PDC (Post-Dated Cheque),pidecad161@acanok.com
